time,gFx,gFy,gFz,gFTotal,label
0.003507853,-0.003,-0.32,-0.738,0.804,walk
0.011282921,-0.004,-0.336,-0.731,0.805,walk
0.02150774,0.008,-0.361,-0.725,0.81,walk
0.031770706,0.038,-0.393,-0.727,0.827,walk
0.041598797,0.067,-0.415,-0.754,0.863,walk
0.052010059,0.082,-0.43,-0.781,0.895,walk
0.062265873,0.098,-0.459,-0.783,0.913,walk
0.094683886,0.073,-0.431,-0.8,0.912,walk
0.095027924,0.073,-0.431,-0.8,0.912,walk
0.095324993,0.073,-0.431,-0.8,0.912,walk
0.101225853,0.071,-0.406,-0.797,0.897,walk
0.111740828,0.074,-0.386,-0.777,0.871,walk
0.121525764,0.074,-0.371,-0.776,0.863,walk
0.13182497,0.069,-0.367,-0.782,0.867,walk
0.141754866,0.061,-0.372,-0.782,0.868,walk
0.152140856,0.052,-0.382,-0.774,0.865,walk
0.162284851,0.045,-0.397,-0.755,0.854,walk
0.196815968,0.046,-0.474,-0.723,0.866,walk
0.197117805,0.046,-0.474,-0.723,0.866,walk
0.197394848,0.046,-0.474,-0.723,0.866,walk
0.201117992,0.059,-0.499,-0.719,0.877,walk
0.211494923,0.07,-0.514,-0.719,0.887,walk
0.221405983,0.076,-0.526,-0.713,0.889,walk
0.23161602,0.094,-0.553,-0.717,0.91,walk
0.241793871,0.125,-0.59,-0.739,0.954,walk
0.251982927,0.16,-0.626,-0.783,1.015,walk
0.262305737,0.192,-0.652,-0.824,1.068,walk
0.275540829,0.216,-0.655,-0.841,1.088,walk
0.297524929,0.228,-0.648,-0.888,1.123,walk
0.297817707,0.228,-0.648,-0.888,1.123,walk
0.301316738,0.226,-0.661,-0.921,1.156,walk
0.315263748,0.219,-0.683,-0.958,1.197,walk
0.321554899,0.205,-0.707,-1.005,1.246,walk
0.331381798,0.165,-0.706,-1.054,1.279,walk
0.341727734,0.115,-0.695,-1.082,1.291,walk
0.351820946,0.071,-0.697,-1.085,1.292,walk
0.362103939,0.026,-0.693,-1.059,1.266,walk
0.396584988,0.003,-0.679,-0.903,1.13,walk
0.396886826,0.003,-0.679,-0.903,1.13,walk
0.397145748,0.003,-0.679,-0.903,1.13,walk
0.400890827,0.012,-0.65,-0.87,1.086,walk
0.411540985,0.029,-0.626,-0.868,1.071,walk
0.421638012,0.07,-0.628,-0.872,1.077,walk
0.431622028,0.104,-0.622,-0.889,1.09,walk
0.44149971,0.107,-0.586,-0.919,1.095,walk
0.451858044,0.095,-0.541,-0.945,1.093,walk
0.462375879,0.069,-0.497,-0.968,1.09,walk
0.496788025,-0.051,-0.357,-0.996,1.059,walk
0.49708271,-0.051,-0.357,-0.996,1.059,walk
0.497339725,-0.051,-0.357,-0.996,1.059,walk
0.500823021,-0.077,-0.313,-0.962,1.015,walk
0.511396885,-0.092,-0.271,-0.918,0.962,walk
0.521402836,-0.089,-0.243,-0.882,0.919,walk
0.531466007,-0.063,-0.239,-0.848,0.883,walk
0.541342735,-0.024,-0.252,-0.82,0.858,walk
0.551704884,0.014,-0.269,-0.794,0.838,walk
0.561681747,0.04,-0.282,-0.773,0.824,walk
0.597565889,0.069,-0.318,-0.771,0.837,walk
0.597848892,0.069,-0.318,-0.771,0.837,walk
0.598111868,0.069,-0.318,-0.771,0.837,walk
0.600883007,0.074,-0.338,-0.777,0.851,walk
0.611203909,0.083,-0.365,-0.78,0.865,walk
0.621109009,0.091,-0.399,-0.792,0.891,walk
0.63142395,0.099,-0.435,-0.808,0.923,walk
0.641407967,0.105,-0.471,-0.82,0.951,walk
0.651620865,0.104,-0.496,-0.827,0.97,walk
0.661727905,0.097,-0.507,-0.826,0.974,walk
0.674965858,0.085,-0.512,-0.815,0.966,walk
0.696252823,0.068,-0.503,-0.799,0.947,walk
0.696514845,0.068,-0.503,-0.799,0.947,walk
0.700769901,0.072,-0.494,-0.802,0.945,walk
0.715883732,0.08,-0.487,-0.802,0.942,walk
0.721009731,0.09,-0.478,-0.803,0.939,walk
0.731399059,0.099,-0.477,-0.806,0.942,walk
0.7414639,0.108,-0.484,-0.809,0.949,walk
0.751505852,0.109,-0.493,-0.814,0.958,walk
